time, flux, empty
3282.331367265, 0.998855311,
3282.351802816, 0.998737131,
3282.372238567, 0.998788475,
3282.392674118, 0.998778384,
3282.413109769, 0.998736136,
3282.433545521, 0.998686064,
3282.453981072, 0.998655945,
3282.474416723, 0.998677618,
3282.494852474, 0.998741474,
3282.535723777, 0.998697711,
3282.556159429, 0.998617528,
3282.576594980, 0.998664770,
3282.597030731, 0.998589261,
3282.617466383, 0.998642742,
3282.637901935, 0.998643305,
3282.658337686, 0.998644870,
3282.678773338, 0.998637657,
3282.699208990, 0.998629839,
3282.719644641, 0.998525661,
3282.740080293, 0.998695506,
3282.780951597, 0.998737457,
3282.801387249, 0.998659310,
3282.821823001, 0.998710004,
3282.842258653, 0.998718924,
3282.862694205, 0.998804969,
3282.883129957, 0.998708187,
3282.903565609, 0.998776367,
3282.924001161, 0.998878600,
3282.944436913, 0.998814377,
3282.964872565, 0.998870939,
3282.985308118, 0.998884319,
3283.026179422, 0.998932843,
3283.046615175, 0.999006704,
3283.067050827, 0.998992111,
3283.087486479, 0.999027022,
3283.107922132, 0.999094650,
3283.128357784, 0.999060998,
3283.148793337, 0.999059293,
3283.169229089, 0.999090766,
3283.189664742, 0.999016567,
3283.230536047, 0.999186224,
3283.250971700, 0.999223875,
3283.271407453, 0.999167553,
3283.291843006, 0.999341924,
3283.312278658, 0.999239577,
3283.332714411, 0.999382268,
3283.353150064, 0.999355251,
3283.373585617, 0.999454473,
3283.394021370, 0.999794340,
3283.537070941, 0.999635516,
3283.557506695, 0.999611491,
3283.577942248, 0.999681726,
3283.598377901, 0.999655768,
3283.618813654, 0.999742464,
3283.639249208, 0.999694438,
3283.659684861, 0.999711346,
3283.680120614, 0.999806497,
3283.700556168, 0.999725044,
3283.761863128, 0.999986540,
3283.782298881, 0.999961258,
3283.802734435, 1.000035541,
3283.843605842, 1.000054115,
3283.864041496, 1.000127019,
3283.884477049, 1.000118318,
3283.904912803, 1.000137058,
3283.925348457, 1.000228953,
3283.945784010, 1.000181007,
3283.966219764, 1.000198877,
3284.007090971, 1.000238183,
3284.027526725, 1.000135740,
3284.047962379, 1.000258425,
3284.068398133, 1.000337543,
3284.088833687, 1.000395004,
3284.109269341, 1.000330038,
3284.129705095, 1.000341326,
3284.150140649, 1.000425164,
3284.170576302, 1.000450094,
3284.191012056, 1.000455834,
3284.211447610, 1.000496054,
3284.252319018, 1.000718261,
3284.272754573, 1.000691796,
3284.293190327, 1.000718384,
3284.313625981, 1.000780624,
3284.334061635, 1.000763237,
3284.354497289, 1.000844305,
3284.374932943, 1.000811547,
3284.395368597, 1.000852928,
3284.415804251, 1.000851991,
3284.436239906, 1.000953591,
3284.456675560, 1.000978825,
3284.497546868, 1.001051710,
3284.517982423, 1.001041628,
3284.538418177, 1.001146902,
3284.558853831, 1.001137884,
3284.579289586, 1.001106288,
3284.599725140, 1.001188052,
3284.620160794, 1.001210070,
3284.640596549, 1.001208222,
3284.661032103, 1.001189948,
3284.681467758, 1.001317031,
3284.701903512, 1.001263395,
3284.742774721, 1.001350371,
3284.763210475, 1.001356550,
3284.783646030, 1.001359013,
3284.804081784, 1.001417643,
3284.824517439, 1.001450906,
3284.844953093, 1.001390588,
3284.865388748, 1.001413082,
3284.906260057, 1.001398930,
3284.926695712, 1.001450584,
3284.947131366, 1.001456677,
3284.988002776, 1.001571216,
3285.008438330, 1.001451335,
3285.028873985, 1.001456025,
3285.049309739, 1.001491946,
3285.069745294, 1.001523559,
3285.090181049, 1.001526481,
3285.110616703, 1.001510201,
3285.131052258, 1.001525570,
3285.151488013, 1.001541572,
3285.171923568, 1.001567547,
3285.192359222, 1.001465703,
